group,name,flavor_text,shots,damage,ap,range,mag,ammo,reload,special_rules,price,weight
Short Rifle,Scattershock Conversion,"A conversion kit for the Scattershock to feed from larger fuel cells. Increases size, mag size and range.",2,3D5,0,25,16,medium fuel cell,5,Scatter; EMP; Stun (3); Upgrade (Scattershock),280,"2,1"
Long Rifle,AR-22,"A full-sized, modular rifle platform, used often and by a variety of people and for a variety of situations.",3,2D10+3,11,70,30,6.3mm,6,,510,"3,8"
Long Rifle,M282 SSW,"A bulky, belt-fed fire support weapon with high ammunition capacity.",6,2D10+3,11,70,120,6.3mm,14,Bulky,520,7
Long Rifle,Mk3 Tankgewehr,"An insanely high-caliber, long barrel rifle made to fight heavy armor. Carries a lot of energy over comparatively small distances.",1,3D10+3,30,220,1,15x132mm,10,,2100,"16,6"
Long Rifle,A3R,"The ""Makar Advanced Anti-Armor Rifle"": A long range rifle made to take out high value targets or light armor. Not an overly clever name but don’t tell the snipers.",1,2D10+7,18,800,5,11.8x112mm,6,,490,12
Long Rifle,M5 Shotgun,A scattergun with a tube magazine firing multiple pellets per shot.,2,4D5+6,4,80,8,12gauge,2,"Single Loader, Scatter",480,"3,8"
Long Rifle,OP-2,A 20mm single shot grenade launcher with increased barrel length.,1,-,-,50,1,20mm grenade,4,"Damage, AP and effects depend on ammunition; 10m minimum arming distance",160,"1,9"
Long Rifle,Rathalos,"A flame thrower with an integrated tank to profit from familiar, proven rifle ergonomics.",5,2D10+4,0,35,15,medium fuel tank,8,Flame; Scatter; Spray,520,4
Long Rifle,BR-56,A semiautomatic laser rifle.,2,1D10+18,3,500,10,medium fuel cell,12,Rending,520,"4,3"
Long Rifle,Incinerator Rifle,A long range laser rifle. Instead of piercing through armor it burns it away.,1,2D5+30,4,700,1,large fuel cell,16,Rending; Flame,520,"9,7"
Long Rifle,M4 Silver Crow,"A handheld, semi automatic mass driver. Very powerful but decently mobile.",2,2D10+4,22,550,16,large shard block,10,,480,"11,2"
Long Rifle,R235 SSW,"A fully automatic mass driver, for when squad support is two rooms over.",5,2D10+4,16,220,180,large shard block,18,,530,"15,6"
Long Rifle,R13 Armor Cracker,"A handheld, long range mass driver",1,1D5+18,35,1400,7,large shard block,16,,460,"23,9"
Long Rifle,FG-9,"A rifle firing high energetic, self-stabilized plasma that destabilizes and explodes on impact. The energy release is highly unpredictable.",1,4D10+6,1,40,10,large fuel cell,16,Blast (3); EMP; Stun (2),1800,"6,3"
Long Rifle,Choke M3 Arc Rifle,An arc rifle with comparatively little spread to increase range.,2,3D10,0,60,10,large fuel cell,12,EMP; Stun (3); Scatter,480,"4,1"
Long Rifle,Choke F3 Arc Thrower,An arc rifle with a large spread made for crowd suppression.,2,5D5,0,30,10,large fuel cell,10,EMP; Stun (2); Spray,470,"3,9"
Heavy,M2 Brass Storm,A high-caliber machine gun with notoriously high fire-rate.,8,2D10+4,10,180,120,11.8x112mm,18,,540,"42,7"
Heavy,M36 Chain Cannon,A heavy machine gun with an external cycler. Reduced fire rate when compared to the M2 but renowned for unrivaled reliability. It is extremely heavy and cannot reasonably be called portable.,5,2D10+4,10,180,120,11.8x112mm,18,Reliable,500,"69,2"
Heavy,RM4 Chain Shotgun,"An automatic, belt fed shotgun known for its high maintenance need.",4,4D5+6,4,80,80,12gauge,18,Scatter,480,"28,4"
Heavy,Forge Fire,A large flamethrower made for vehicles and emplacements,5,3D10+3,0,50,30,large fuel tank,40,Flame; Scatter; Spray,2200,"35,4"
Heavy,Slicer,"A vehicle laser cannon, powerful enough to break bunker doors. Requires a massive power source to equalize its needs and is overly affected by refraction, limiting its range.",1,5D10+20,8,40,5,vehicle power cell,40,"Powered, Rending",2450,231
Heavy,Model 6 Gladiator,A heavy mass driver sporting 5 rotating accelerators to prevent overheating and increase fire rate.,12,3D10+8,12,500,500,vehicle shard block,40,"Reliable, Powered",2420,169
Heavy,Mag Rail Cannon,A massive mass driver built for anti armor LAVs in the days of war.,1,3D10+18,40,6000,20,vehicle shard block,40,Powered,2450,143
Heavy,Zeushammer,"Also referred to as the ""Ball Lightning Cannon"" this weapon is a long range Tesla cannon firing arcing ball lightnings.",1,9D10-4,0,150,5,vehicle power cell,40,Blast (6); EMP; Stun (5); Spray; Powered,2410,197
Launcher,MML-4,A multi rocket launcher built for vehicles,2,-,-,350,6,rocket propelled grenade,40,"Damage, AP and effects depend on ammunition; Powered; Backblast (4)",2220,"36,9"
Launcher,WTFBRR,A massive recoilless rifle made for giant loads to be fired from vehicles,1,-,-,700,1,large rocket propelled grenade,20,"Damage, AP and effects depend on ammunition; Backblast (8)",2360,"45,7"
Launcher,Hail Fire,A micro missile launcher firing multiple rockets on multiple targets simultaneously,4,3D10+2,4,250,4,micro missile pack,40,Powered; Multitargeting; Backblast (2),2200,"26,7"
Launcher,M64,A 40mm rotary grenade launcher,1,-,-,100,6,40mm grenade,6,"Damage, AP and effects depend on ammunition; 10m minimum arming distance; Single Loader",580,"5,4"
Launcher,ERPG,A rocket propelled grenade launcher,1,-,-,400,1,rocket propelled grenade,6,"Damage, AP and effects depend on ammunition; Backblast (4)",510,"6,2"
Launcher,OP-4,A 40mm breech loading grenade launcher,1,-,-,70,1,40mm grenade,6,"Damage, AP and effects depend on ammunition; 15m minimum arming distance",190,"2,2"
Launcher,Thunderstrike,"A grenade launcher fed from a belt. Very useful for crowd control but complete overkill in most situations. It is also extremely cumbersome due to the massive belt or belt box, much too large to be used on foot.",4,-,-,100,30,40mm grenade,9,"Damage, AP and effects depend on ammunition; 15m minimum arming distance",2200,"14,2"
Bow,Collapsible Bow,A bow that can be collapsed to fit small cases for transportation and concealment.,1,1D10+3,1,50,1,arrow,1,Silenced,35,"1,5"
Bow,Recurve Bow,A full-sized bow with heavy draw.,1,1D10+4,2,75,1,arrow,1,Silenced; Suffers a penalty to hit equal to the user’s strength below 40.,30,"3,2"
Throwing,Asphyxiation Grenade,"A chemical weapon that burns away oxygen in a living room sized area. This reaction is not strongly exothermic, making it hard to detect before it’s too late.",,-,-,15,,,,Blast (5); causes suffocation,31,"0,3"
Throwing,EMP grenade,"Very expensive and very rare, this new type of explosive stuns or even damages unshielded electronics. It also causes piezoelectric exoskeletons to spasm and hurt the wearer.",,-,-,15,,,,Blast (6); EMP,28,"0,1"
Throwing,Flashbang,Popular among law enforcement personnel this non-lethal grenade blinds and deafens anyone not wearing appropriate protective gear with a loud bang and bright flash.,,-,-,15,,,,Blast (12); Flash,14,"0,1"
Throwing,Frag Grenade,An explosive that spreads a large amount of shrapnel in a decently large area. Used against groups of hostiles and to clear rooms since the dawn of gunpowder.,,2D10+2,2,15,,,,Blast (6),22,"0,1"
Throwing,Incendiary Grenade,A fire-based explosive known to be easy and cheap to improvise and to cause a lot of collateral damage. Less useful against energy shielding and metal constructions.,,1D10+2,0,15,,,,Blast (8); Flame,22,"0,1"
Throwing,Riot Foam,A canister of sticky foam that heavily impairs movement of everyone caught up in it. Can safely but slowly be burnt away at low temperatures.,,-,-,15,,,,Blast (12); Sticky,12,"0,1"
Throwing,Smoke Grenade,Favored in open places this non-lethal grenade grants a large amount of artificial concealment to otherwise clear lines of fire.,,-,-,15,,,,Blast (8); Smoke,14,"0,1"
Throwing,Tear Gas Grenade,Non-lethal irritant grenades usually employed to stop riots.,,-,-,15,,,,Blast (8); Smoke; Stun (0); Stun is applied every round in the Smoke,16,"0,1"
Throwing,Blunt Throwing Weapon,Blunt instruments like rocks and bottles being thrown. Very common when nothing else is at hand.,,1D5+7,6,15,,,,Trauma; Piercing; Improvised,0 (Rocks are free),"0,8"
Throwing,Throwing Axe,"Sharp, heavy, bladed weapon weighted for throwing",,1D10+6,0,15,,,,,12,1
Throwing,Throwing Knives,"Sharp, bladed weapons weighted for throwing",,1D5+5,3,15,,,,,10,"0,4"
Traps,Bear Trap,"A strong, spring loaded clamp made to injure legs and stop creatures from fleeing or approaching.",,2D10+12,0,,,,,,8,"1,1"
Traps,C-7,A block of plastic explosives. Usually made to be set up but can the thrown in a pinch.,,2D10+18,16,,,,,Blast (6),22,"0,2"
Traps,Cloak Mine,A landmine with an integrated cloaking field. Makes an obvious noise when stepped upon and takes a decent amount of time to arm for safety reasons.,,2D10+5,4,,,,,Blast (3); detecting the noise when stepped upon takes a +0 Perception test,33,"1,2"
Traps,Exploding Small Fuel Cell,"A small fuel cell, usually built very sturdily, may be rigged as an improvised explosive device. Unstable cells however may explode when handled too roughly in high temperatures.",,2D10+4,6,,,,,Blast (1),,"0,3"
Traps,Exploding Medium Fuel Cell,"A fuel cell, usually built very sturdily, may be rigged as an improvised explosive device. Unstable cells however may explode when handled too roughly in high temperatures.",,3D10+6,9,,,,,Blast (1),,"0,8"
Traps,Exploding Large Fuel Cell,"A large fuel cell, usually built very sturdily, may be rigged as an improvised explosive device. Unstable cells however may explode when handled too roughly in high temperatures.",,4D10+8,12,,,,,Blast (2),,"1,5"
